2026-06-30 19:27:09,422 | dataflows            | ERROR    | data_source_manager:_try_fallback_stock_info:1655 | ❌ 所有数据源都无法获取002281的股票信息
2026-06-30 19:27:09,555 | agents               | INFO     | interface:get_china_stock_data_unified:1542 | 📅 [配置验证] ===== MARKET_ANALYST_LOOKBACK_DAYS 配置检查 =====
2026-06-30 19:27:09,556 | agents               | INFO     | interface:get_china_stock_data_unified:1543 | 📅 [配置验证] 从配置文件读取: 30天
2026-06-30 19:27:09,556 | agents               | INFO     | interface:get_china_stock_data_unified:1544 | 📅 [配置验证] 配置来源: app.core.config.Settings
2026-06-30 19:27:09,557 | agents               | INFO     | interface:get_china_stock_data_unified:1545 | 📅 [配置验证] 环境变量: MARKET_ANALYST_LOOKBACK_DAYS=30
2026-06-30 19:27:09,557 | agents               | INFO     | interface:get_china_stock_data_unified:1554 | 📅 [智能日期] ===== 日期范围计算结果 =====
2026-06-30 19:27:09,558 | agents               | INFO     | interface:get_china_stock_data_unified:1555 | 📅 [智能日期] 原始输入: 2025-06-30 至 2026-06-30
2026-06-30 19:27:09,558 | agents               | INFO     | interface:get_china_stock_data_unified:1556 | 📅 [智能日期] 回溯天数: 30天
2026-06-30 19:27:09,559 | agents               | INFO     | interface:get_china_stock_data_unified:1557 | 📅 [智能日期] 计算结果: 2026-05-31 至 2026-06-30
2026-06-30 19:27:09,559 | agents               | INFO     | interface:get_china_stock_data_unified:1558 | 📅 [智能日期] 实际天数: 30天
2026-06-30 19:27:09,559 | agents               | INFO     | interface:get_china_stock_data_unified:1559 | 💡 [智能日期] 说明: 自动扩展日期范围以处理周末、节假日和数据延迟
2026-06-30 19:27:09,560 | agents               | INFO     | interface:get_china_stock_data_unified:1562 | 📊 [统一接口] 开始获取中国股票数据
2026-06-30 19:27:09,560 | agents               | INFO     | interface:get_china_stock_data_unified:1572 | 🔍 [股票代码追踪] get_china_stock_data_unified 接收到的原始股票代码: '002281' (类型: <class 'str'>)
2026-06-30 19:27:09,560 | agents               | INFO     | interface:get_china_stock_data_unified:1573 | 🔍 [股票代码追踪] 股票代码长度: 6
2026-06-30 19:27:09,561 | agents               | INFO     | interface:get_china_stock_data_unified:1574 | 🔍 [股票代码追踪] 股票代码字符: ['0', '0', '2', '2', '8', '1']
2026-06-30 19:27:09,562 | dataflows            | INFO     | data_source_manager:get_china_stock_data_unified:2167 | 🔍 [股票代码追踪] data_source_manager.get_china_stock_data_unified 接收到的股票代码: '002281' (类型: <class 'str'>)
2026-06-30 19:27:09,562 | dataflows            | INFO     | data_source_manager:get_china_stock_data_unified:2168 | 🔍 [股票代码追踪] 股票代码长度: 6
2026-06-30 19:27:09,562 | dataflows            | INFO     | data_source_manager:get_china_stock_data_unified:2169 | 🔍 [股票代码追踪] 股票代码字符: ['0', '0', '2', '2', '8', '1']
2026-06-30 19:27:09,562 | dataflows            | INFO     | data_source_manager:get_china_stock_data_unified:2172 | 🔍 [股票代码追踪] 调用 manager.get_stock_data，传入参数: symbol='002281', start_date='2026-05-31', end_date='2026-06-30'
2026-06-30 19:27:09,563 | dataflows            | INFO     | data_source_manager:get_stock_data:1094 | 📊 [数据来源: DataSourceCode.MONGODB] 开始获取daily数据: 002281
2026-06-30 19:27:09,563 | dataflows            | INFO     | data_source_manager:get_stock_data:1105 | 🔍 [股票代码追踪] DataSourceManager.get_stock_data 接收到的股票代码: '002281' (类型: <class 'str'>)
2026-06-30 19:27:09,564 | dataflows            | INFO     | data_source_manager:get_stock_data:1106 | 🔍 [股票代码追踪] 股票代码长度: 6
2026-06-30 19:27:09,564 | dataflows            | INFO     | data_source_manager:get_stock_data:1107 | 🔍 [股票代码追踪] 股票代码字符: ['0', '0', '2', '2', '8', '1']
2026-06-30 19:27:09,564 | dataflows            | INFO     | data_source_manager:get_stock_data:1108 | 🔍 [股票代码追踪] 当前数据源: DataSourceCode.MONGODB
2026-06-30 19:27:09,565 | dataflows            | INFO     | data_source_manager:_get_mongodb_data:1224 | 🔄 [MongoDB] 未找到daily数据: 002281，开始尝试备用数据源
2026-06-30 19:27:09,565 | dataflows            | INFO     | data_source_manager:_try_fallback_sources:1398 | 🔄 [DataSourceCode.MONGODB] 失败，尝试备用数据源获取daily数据: 002281
2026-06-30 19:27:09,588 | dataflows            | WARNING  | data_source_manager:_get_data_source_priority_order:210 | ⚠️ [数据源优先级] 从数据库读取失败: No module named 'motor'，使用默认顺序
2026-06-30 19:27:09,589 | dataflows            | INFO     | data_source_manager:_try_fallback_sources:1407 | 🔄 [备用数据源] 尝试 DataSourceCode.AKSHARE 获取daily数据: 002281
2026-06-30 19:27:09,589 | tradingagents.dataflows.providers.china.akshare | INFO     | akshare:_initialize_akshare:47 | 🔧 检测到 curl_cffi，将使用它来模拟真实浏览器 TLS 指纹
2026-06-30 19:27:09,591 | tradingagents.dataflows.providers.china.akshare | INFO     | akshare:_initialize_akshare:150 | 🔧 已修复AKShare的headers问题，使用 curl_cffi 模拟真实浏览器（Chrome 120）
2026-06-30 19:27:09,591 | tradingagents.dataflows.providers.china.akshare | INFO     | akshare:_configure_timeout:272 | 🔧 AKShare超时配置完成: 60秒
2026-06-30 19:27:09,592 | tradingagents.dataflows.providers.china.akshare | INFO     | akshare:_initialize_akshare:160 | ✅ AKShare连接成功
2026-06-30 19:27:10,188 | tradingagents.dataflows.providers.china.akshare | WARNING  | akshare:patched_get:101 | ⚠️ curl_cffi 请求失败，回退到标准 requests: Failed to perform, curl: (56) Connection closed abruptly. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
2026-06-30 19:27:12,855 | tradingagents.dataflows.providers.china.akshare | ERROR    | akshare:_get_stock_list_cached:417 | ❌ 获取股票列表失败: Excel file format cannot be determined, you must specify an engine manually.
2026-06-30 19:27:13,017 | dataflows            | INFO     | data_source_manager:_format_stock_data_response:748 | 📊 [技术指标] 开始计算技术指标，原始数据: 21条
2026-06-30 19:27:13,036 | dataflows            | INFO     | data_source_manager:_format_stock_data_response:805 | ✅ [技术指标] 技术指标计算完成
2026-06-30 19:27:13,038 | dataflows            | INFO     | data_source_manager:_format_stock_data_response:813 | 🔍 [技术指标详情] ===== 最近5个交易日数据 =====
2026-06-30 19:27:13,041 | dataflows            | INFO     | data_source_manager:_format_stock_data_response:815 | 🔍 [技术指标详情] 第1天 (2026-06-24 00:00:00):
2026-06-30 19:27:13,043 | dataflows            | INFO     | data_source_manager:_format_stock_data_response:816 |    价格: 开=262.47, 高=272.44, 低=260.00, 收=266.36
2026-06-30 19:27:13,044 | dataflows            | INFO     | data_source_manager:_format_stock_data_response:817 |    MA: MA5=263.51, MA10=238.60, MA20=229.10, MA60=229.10
2026-06-30 19:27:13,044 | dataflows            | INFO     | data_source_manager:_format_stock_data_response:818 |    MACD: DIF=15.1068, DEA=8.8850, MACD=12.4435
2026-06-30 19:27:13,044 | dataflows            | INFO     | data_source_manager:_format_stock_data_response:819 |    RSI: RSI6=75.03, RSI12=73.86, RSI24=72.65 (同花顺风格)
2026-06-30 19:27:13,045 | dataflows            | INFO     | data_source_manager:_format_stock_data_response:820 |    RSI14: 66.81 (国际标准)
2026-06-30 19:27:13,045 | dataflows            | INFO     | data_source_manager:_format_stock_data_response:821 |    BOLL: 上=279.56, 中=229.10, 下=178.64
2026-06-30 19:27:13,046 | dataflows            | INFO     | data_source_manager:_format_stock_data_response:815 | 🔍 [技术指标详情] 第2天 (2026-06-25 00:00:00):
2026-06-30 19:27:13,046 | dataflows            | INFO     | data_source_manager:_format_stock_data_response:816 |    价格: 开=266.50, 高=271.12, 低=256.00, 收=261.46
2026-06-30 19:27:13,047 | dataflows            | INFO     | data_source_manager:_format_stock_data_response:817 |    MA: MA5=267.40, MA10=244.48, MA20=230.90, MA60=230.90
2026-06-30 19:27:13,047 | dataflows            | INFO     | data_source_manager:_format_stock_data_response:818 |    MACD: DIF=15.4597, DEA=10.1999, MACD=10.5195
2026-06-30 19:27:13,048 | dataflows            | INFO     | data_source_manager:_format_stock_data_response:819 |    RSI: RSI6=67.35, RSI12=69.39, RSI24=69.39 (同花顺风格)
2026-06-30 19:27:13,048 | dataflows            | INFO     | data_source_manager:_format_stock_data_response:820 |    RSI14: 66.05 (国际标准)
2026-06-30 19:27:13,048 | dataflows            | INFO     | data_source_manager:_format_stock_data_response:821 |    BOLL: 上=282.17, 中=230.90, 下=179.63
2026-06-30 19:27:13,049 | dataflows            | INFO     | data_source_manager:_format_stock_data_response:815 | 🔍 [技术指标详情] 第3天 (2026-06-26 00:00:00):
2026-06-30 19:27:13,052 | dataflows            | INFO     | data_source_manager:_format_stock_data_response:816 |    价格: 开=256.00, 高=256.27, 低=237.00, 收=240.34
2026-06-30 19:27:13,052 | dataflows            | INFO     | data_source_manager:_format_stock_data_response:817 |    MA: MA5=262.23, MA10=247.98, MA20=231.40, MA60=231.40
2026-06-30 19:27:13,052 | dataflows            | INFO     | data_source_manager:_format_stock_data_response:818 |    MACD: DIF=13.8752, DEA=10.9350, MACD=5.8804
2026-06-30 19:27:13,052 | dataflows            | INFO     | data_source_manager:_format_stock_data_response:819 |    RSI: RSI6=44.04, RSI12=54.02, RSI24=57.72 (同花顺风格)
2026-06-30 19:27:13,052 | dataflows            | INFO     | data_source_manager:_format_stock_data_response:820 |    RSI14: 54.51 (国际标准)
2026-06-30 19:27:13,052 | dataflows            | INFO     | data_source_manager:_format_stock_data_response:821 |    BOLL: 上=281.41, 中=231.40, 下=181.38
2026-06-30 19:27:13,054 | dataflows            | INFO     | data_source_manager:_format_stock_data_response:815 | 🔍 [技术指标详情] 第4天 (2026-06-29 00:00:00):
2026-06-30 19:27:13,056 | dataflows            | INFO     | data_source_manager:_format_stock_data_response:816 |    价格: 开=240.34, 高=248.93, 低=225.00, 收=235.94
2026-06-30 19:27:13,056 | dataflows            | INFO     | data_source_manager:_format_stock_data_response:817 |    MA: MA5=254.20, MA10=251.08, MA20=231.62, MA60=231.62
2026-06-30 19:27:13,056 | dataflows            | INFO     | data_source_manager:_format_stock_data_response:818 |    MACD: DIF=12.1247, DEA=11.1729, MACD=1.9035
2026-06-30 19:27:13,057 | dataflows            | INFO     | data_source_manager:_format_stock_data_response:819 |    RSI: RSI6=40.53, RSI12=51.43, RSI24=55.69 (同花顺风格)
2026-06-30 19:27:13,057 | dataflows            | INFO     | data_source_manager:_format_stock_data_response:820 |    RSI14: 61.55 (国际标准)
2026-06-30 19:27:13,057 | dataflows            | INFO     | data_source_manager:_format_stock_data_response:821 |    BOLL: 上=280.35, 中=231.62, 下=182.90
2026-06-30 19:27:13,057 | dataflows            | INFO     | data_source_manager:_format_stock_data_response:815 | 🔍 [技术指标详情] 第5天 (2026-06-30 00:00:00):
2026-06-30 19:27:13,058 | dataflows            | INFO     | data_source_manager:_format_stock_data_response:816 |    价格: 开=237.11, 高=259.00, 低=230.30, 收=256.94
2026-06-30 19:27:13,059 | dataflows            | INFO     | data_source_manager:_format_stock_data_response:817 |    MA: MA5=252.21, MA10=254.22, MA20=234.26, MA60=232.83
2026-06-30 19:27:13,059 | dataflows            | INFO     | data_source_manager:_format_stock_data_response:818 |    MACD: DIF=12.2903, DEA=11.3964, MACD=1.7877
2026-06-30 19:27:13,059 | dataflows            | INFO     | data_source_manager:_format_stock_data_response:819 |    RSI: RSI6=59.16, RSI12=61.13, RSI24=62.31 (同花顺风格)
2026-06-30 19:27:13,059 | dataflows            | INFO     | data_source_manager:_format_stock_data_response:820 |    RSI14: 66.32 (国际标准)
2026-06-30 19:27:13,059 | dataflows            | INFO     | data_source_manager:_format_stock_data_response:821 |    BOLL: 上=282.45, 中=234.26, 下=186.06
2026-06-30 19:27:13,059 | dataflows            | INFO     | data_source_manager:_format_stock_data_response:823 | 🔍 [技术指标详情] ===== 数据详情结束 =====
2026-06-30 19:27:13,062 | dataflows            | INFO     | data_source_manager:_get_volume_safely:1380 | ✅ 找到成交量列: volume
2026-06-30 19:27:13,064 | dataflows            | INFO     | data_source_manager:_get_akshare_data:1329 | ✅ [AKShare] 已计算技术指标: MA5/10/20/60, MACD, RSI, BOLL
2026-06-30 19:27:13,065 | dataflows            | INFO     | data_source_manager:_try_fallback_sources:1422 | ✅ [备用数据源-DataSourceCode.AKSHARE] 成功获取daily数据: 002281
2026-06-30 19:27:13,066 | dataflows            | INFO     | data_source_manager:get_stock_data:1142 | ✅ [数据来源: DataSourceCode.AKSHARE] 成功获取股票数据: 002281 (573字符, 耗时3.50秒)
2026-06-30 19:27:13,067 | dataflows            | INFO     | data_source_manager:get_china_stock_data_unified:2178 | 🔍 [股票代码追踪] 返回结果统计: 总行数=36, 数据行数=0, 结果长度=573字符
2026-06-30 19:27:13,068 | dataflows            | INFO     | data_source_manager:get_china_stock_data_unified:2179 | 🔍 [股票代码追踪] 返回结果前500字符: 📊 股票002281(002281) - 技术分析数据
数据期间: 2026-05-31 至 2026-06-30
数据条数: 21条 (展示最近5个交易日)

💰 最新价格: ¥256.94
📈 涨跌额: +21.00 (+8.90%)

📊 移动平均线 (MA):
   MA5:  ¥252.21 (价格在MA5上方 ↑)
   MA10: ¥254.22 (价格在MA10上方 ↑)
   MA20: ¥234.26 (价格在MA20上方 ↑)
   MA60: ¥232.83 (价格在MA60上方 ↑)

📈 MACD指标:
   DIF:  12.290
   DEA:  11.396
   MACD: 1.788 (多头 ↑)

📉 RSI指标 (同花顺风格):
   RSI6:  59.16
   RSI12: 61.13
   RSI24: 62.31
   趋势: 空头排列 ↓

📊 布林带 (BOLL):
   上轨: ¥282.45
   中轨: ¥234.26
   下轨: ¥186.06
   价格位置: 73.5% (中性区域)

📊 价格统计 (最近5个交易
2026-06-30 19:27:13,069 | agents               | INFO     | interface:get_china_stock_data_unified:1589 | ✅ [统一接口] 中国股票数据获取成功
2026-06-30 19:29:08,433 | agents               | INFO     | config_manager:_load_env_file:91 | 🔍 [ConfigManager] 加载 .env 文件: D:\Workspace\03 项目\04 重大项目\01 大模型\量化交易\AresStock\tradingagents\.env
2026-06-30 19:29:08,436 | agents               | INFO     | config_manager:_load_env_file:92 | 🔍 [ConfigManager] 加载前 DASHSCOPE_API_KEY: 空
2026-06-30 19:29:08,461 | agents               | INFO     | config_manager:_load_env_file:96 | 🔍 [ConfigManager] 加载后 DASHSCOPE_API_KEY: 有值
2026-06-30 19:29:08,463 | agents               | INFO     | config_manager:_init_mongodb_storage:154 | 🔧 [ConfigManager] 开始初始化 MongoDB 存储...
2026-06-30 19:29:08,464 | agents               | INFO     | config_manager:_init_mongodb_storage:164 | 🔍 [ConfigManager] USE_MONGODB_STORAGE=false (解析为: False)
2026-06-30 19:29:08,465 | agents               | INFO     | config_manager:_init_mongodb_storage:167 | ℹ️ [ConfigManager] MongoDB 存储未启用，将使用 JSON 文件存储
2026-06-30 19:29:08,531 | stock_validator      | INFO     | stock_validator:prepare_stock_data_async:1385 | 📊 [数据准备-异步] 开始准备股票数据: 002281 (市场: A股, 时长: 30天)
2026-06-30 19:29:08,561 | stock_validator      | INFO     | stock_validator:_prepare_china_stock_data_async:601 | 📊 [A股数据-异步] 开始准备002281的数据 (时长: 30天)
2026-06-30 19:29:08,903 | stock_validator      | INFO     | stock_validator:_prepare_china_stock_data_async:610 | 📅 [A股数据-异步] 实际数据范围: 2026-05-31 到 2026-06-30 (30天)
